Date,Open,High,Low,Close,Adj Close,Volume
2013-04-03,2.162,2.184,2.112,2.116,2.096569,4308025.0
2013-04-08,2.116,2.116,2.002,2.076,2.056937,3268605.0
2013-04-09,2.056,2.118,2.056,2.092,2.07279,1724200.0
2013-04-10,2.116,2.25,2.096,2.19,2.16989,10542040.0
2013-04-11,2.17,2.186,2.096,2.12,2.100533,5345690.0
2013-04-12,2.12,2.16,2.082,2.088,2.068826,1770055.0
2013-04-15,2.052,2.1,2.038,2.096,2.076753,2141345.0
2013-04-16,2.06,2.118,2.042,2.11,2.090624,1848800.0
2013-04-17,2.11,2.11,2.06,2.092,2.07279,1529595.0
2013-04-18,2.062,2.114,2.052,2.1,2.080716,3040480.0
2013-04-19,2.092,2.152,2.092,2.144,2.124312,4049265.0
2013-04-22,2.114,2.156,2.112,2.148,2.128275,3255240.0
2013-04-23,2.136,2.148,2.086,2.088,2.068826,2379960.0
2013-04-24,2.068,2.132,2.068,2.12,2.100533,3300845.0
2013-04-25,2.11,2.138,2.104,2.11,2.090624,2958085.0
2013-04-26,2.12,2.132,2.068,2.072,2.052973,1761595.0
2013-05-02,2.072,2.096,2.046,2.082,2.062881,2083925.0
2013-05-03,2.086,2.128,2.086,2.11,2.090624,1992845.0
2013-05-06,2.136,2.146,2.118,2.138,2.118367,4042815.0
2013-05-07,2.14,2.166,2.124,2.146,2.126294,3437435.0
2013-05-08,2.136,2.166,2.12,2.162,2.142147,4152600.0
2013-05-09,2.164,2.164,2.128,2.144,2.124312,3273380.0
2013-05-10,2.15,2.156,2.132,2.154,2.13422,2695645.0
2013-05-13,2.16,2.16,2.12,2.14,2.120349,2043355.0
2013-05-14,2.138,2.162,2.09,2.146,2.126294,4438845.0
2013-05-15,2.128,2.148,2.116,2.14,2.120349,3381760.0
2013-05-16,2.15,2.17,2.136,2.15,2.130257,5183940.0
2013-05-17,2.16,2.19,2.144,2.184,2.163945,6197065.0
2013-05-20,2.182,2.23,2.17,2.222,2.201596,7104670.0
2013-05-21,2.232,2.234,2.178,2.196,2.175835,11420015.0
2013-05-22,2.194,2.288,2.182,2.23,2.209522,18000930.0
2013-05-23,2.23,2.32,2.21,2.278,2.257082,24643900.0
2013-05-24,2.268,2.32,2.256,2.302,2.280861,12144710.0
2013-05-27,2.29,2.368,2.282,2.342,2.320494,15737475.0
2013-05-28,2.346,2.386,2.304,2.334,2.312567,19473700.0
2013-05-29,2.332,2.358,2.27,2.356,2.334365,20191385.0
2013-05-30,2.34,2.38,2.32,2.354,2.332384,12185375.0
2013-05-31,2.388,2.47,2.33,2.33,2.308604,17779225.0
2013-06-03,2.33,2.344,2.284,2.314,2.292751,9205790.0
2013-06-04,2.32,2.344,2.274,2.344,2.322476,11156020.0
2013-06-05,2.34,2.376,2.318,2.366,2.344274,8587035.0
2013-06-06,2.352,2.396,2.326,2.326,2.304641,10645965.0
2013-06-07,2.316,2.346,2.278,2.304,2.282843,7414910.0
2013-06-13,2.304,2.304,2.136,2.162,2.142147,5386365.0
2013-06-14,2.166,2.196,2.14,2.15,2.130257,6811360.0
2013-06-17,2.154,2.154,2.062,2.102,2.082698,9352870.0
2013-06-18,2.104,2.112,2.084,2.11,2.090624,4486720.0
2013-06-19,2.11,2.118,2.07,2.11,2.090624,4043075.0
2013-06-20,2.096,2.12,2.06,2.072,2.052973,2773595.0
2013-06-21,2.06,2.06,2.026,2.04,2.021267,3143700.0
2013-06-24,2.046,2.046,1.838,1.858,1.840938,5015565.0
2013-06-25,1.85,1.87,1.702,1.828,1.811214,5696505.0
2013-06-26,1.826,1.864,1.786,1.858,1.840938,3747175.0
2013-06-27,1.858,1.894,1.774,1.78,1.763655,5000640.0
2013-06-28,1.76,1.824,1.76,1.78,1.763655,2906670.0
2013-07-01,1.79,1.856,1.774,1.85,1.833012,3918925.0
2013-07-02,1.84,1.866,1.826,1.85,1.833012,4268570.0
2013-07-03,1.85,1.88,1.8,1.866,1.848865,3769095.0
2013-07-04,1.854,1.97,1.822,1.9,1.882553,5540875.0
2013-07-05,1.9,1.95,1.882,1.886,1.868681,5191705.0
2013-07-08,1.866,1.866,1.762,1.762,1.74582,4463035.0
2013-07-09,1.756,1.878,1.756,1.838,1.821122,6449160.0
2013-07-10,1.782,1.924,1.782,1.888,1.870663,6200010.0
2013-07-11,1.904,1.966,1.882,1.93,1.912277,6840185.0
2013-07-12,1.93,1.976,1.892,1.898,1.880571,5545660.0
2013-07-15,1.914,1.942,1.886,1.93,1.912277,3301835.0
2013-07-16,1.938,2.056,1.91,2.01,1.991543,7991370.0
2013-07-17,1.998,2.068,1.96,1.986,1.967763,8355795.0
